"";"game_id";"half_elapsed";"type";"cards"
"1";1729;22;"goal";NA
"2";1729;24;"goal";NA
"3";1730;4;"goal";NA
"4";1731;83;"goal";NA
"5";1732;4;"goal";NA
"6";1732;10;"goal";NA
"7";1732;47;"goal";NA
"8";1733;47;"goal";NA
"9";1733;64;"goal";NA
"10";1733;69;"goal";NA
"11";1733;74;"goal";NA
"12";1733;76;"goal";NA
"13";1733;90;"goal";NA
"14";1734;22;"goal";NA
"15";1734;47;"goal";NA
"16";1734;65;"goal";NA
"17";1734;67;"goal";NA
"18";1734;95;"goal";NA
"19";1735;32;"goal";NA
"20";1735;71;"goal";NA
"21";1735;86;"goal";NA
"22";1735;93;"goal";NA
"23";1736;34;"goal";NA
"24";1736;41;"goal";NA
"25";1736;47;"goal";NA
"26";1736;93;"goal";NA
"27";1737;9;"goal";NA
"28";1737;23;"goal";NA
"29";1737;82;"goal";NA
"30";1738;12;"goal";NA
"31";1738;26;"goal";NA
"32";1738;47;"goal";NA
"33";1738;89;"goal";NA
"34";1739;14;"goal";NA
"35";1739;30;"goal";NA
"36";1740;13;"goal";NA
"37";1740;37;"goal";NA
"38";1740;46;"goal";NA
"39";1740;64;"goal";NA
"40";1740;68;"goal";NA
"41";1740;68;"goal";NA
"42";1740;89;"goal";NA
"43";1740;94;"goal";NA
"44";1741;53;"goal";NA
"45";1741;94;"goal";NA
"46";1742;90;"goal";NA
"47";1743;3;"goal";NA
"48";1743;50;"goal";NA
"49";1743;75;"goal";NA
"50";1744;73;"goal";NA
"51";1745;76;"goal";NA
"52";1746;30;"goal";NA
"53";1746;47;"goal";NA
"54";1746;65;"goal";NA
"55";1746;87;"goal";NA
"56";1746;94;"goal";NA
"57";1747;10;"goal";NA
"58";1747;42;"goal";NA
"59";1747;65;"goal";NA
"60";1748;11;"goal";NA
"61";1748;60;"goal";NA
"62";1749;3;"goal";NA
"63";1749;23;"goal";NA
"64";1749;29;"goal";NA
"65";1749;40;"goal";NA
"66";1749;44;"goal";NA
"67";1749;57;"goal";NA
"68";1749;69;"goal";NA
"69";1749;82;"goal";NA
"70";1750;3;"goal";NA
"71";1750;69;"goal";NA
"72";1750;91;"goal";NA
"73";1751;87;"goal";NA
"74";1752;21;"goal";NA
"75";1752;82;"goal";NA
"76";1753;60;"goal";NA
"77";1753;83;"goal";NA
"78";1754;77;"goal";NA
"79";1754;88;"goal";NA
"80";1755;13;"goal";NA
"81";1755;36;NA;"y2"
"82";1755;55;"goal";NA
"83";1755;62;"goal";NA
"84";1755;89;"goal";NA
"85";1756;45;"goal";NA
"86";1756;82;"goal";NA
"87";1756;92;"goal";NA
"88";1757;11;"goal";NA
"89";1757;73;"goal";NA
"90";1757;77;NA;"r"
"91";1757;94;"goal";NA
"92";1758;27;"goal";NA
"93";1758;30;"goal";NA
"94";1758;46;"goal";NA
"95";1758;51;"goal";NA
"96";1758;53;"goal";NA
"97";1759;9;"goal";NA
"98";1759;22;"goal";NA
"99";1759;48;"goal";NA
"100";1759;90;"goal";NA
"101";1760;34;"goal";NA
"102";1760;43;"goal";NA
"103";1760;93;"goal";NA
"104";1761;4;"goal";NA
"105";1761;51;"goal";NA
"106";1761;91;"goal";NA
"107";1762;63;"goal";NA
"108";1762;83;"goal";NA
"109";1762;85;"goal";NA
"110";1762;87;"goal";NA
"111";1763;34;"goal";NA
"112";1763;37;"goal";NA
"113";1763;88;"goal";NA
"114";1764;16;"goal";NA
"115";1764;26;NA;"y2"
"116";1764;29;"goal";NA
"117";1764;64;"goal";NA
"118";1764;83;NA;"r"
"119";1764;89;NA;"r"
